Код раздела,Название раздела,Всего основных фондов,Здания,Машины и оборудование,Сооружения,Транспортные средства,ward,complete,average,single
A,"Сельское, лесное хозяйство, охота, рыболовство и рыбоводство",12659741.833333334,0.3416189096664223,0.3260608902989695,0.1259207703658098,0.0617507346658755,3,4,2,1
B,Добыча полезных ископаемых,42000380.0,0.0695194209795772,0.1855041540177056,0.700052654814796,0.0269758024390421,2,2,1,3
C,Обрабатывающие производства,40131529.333333336,0.2168581047411969,0.4950248740402383,0.2311762682895091,0.0297037958857105,4,4,3,1
D,"Обеспечение электрической энергией, газом и паром; кондиционирование воздуха",29250986.666666668,0.1563935200992375,0.3416875766222031,0.4630224109720084,0.0114527639596531,4,3,3,1
E,"Водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений",5519033.166666667,0.1221182088644636,0.1148365735323654,0.7123060864409778,0.0364903877575722,2,2,1,3
F,Строительство,4599606.333333333,0.2048527764478896,0.3447118216429534,0.2305268476387106,0.1674453235491654,4,3,3,1
G,Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов,7363811.833333333,0.4554517361256661,0.2551878909403449,0.1657882127629568,0.065767866164629,3,4,2,1
H,Транспортировка и хранение,82763020.66666667,0.0681819958290228,0.1278414891091768,0.6894336957433299,0.1085650500962948,2,2,1,3
I,Деятельность гостиниц и предприятий общественного питания,2738810.1666666665,0.6177179566818493,0.1637349089748309,0.1423558255707638,0.0233606486701,1,1,2,1
J,Деятельность в области информации и связи,8944900.0,0.0862650882302355,0.5302332378108676,0.2282846004141018,0.0135756915535154,4,4,3,1
K,Деятельность финансовая и страховая,6195783.333333333,0.3260887825999922,0.2649704143798561,0.0729108067010992,0.2084048985363984,3,4,2,1
L,Деятельность по операциям с недвижимым имуществом,148675575.66666666,0.935302661921204,0.0166411276098856,0.0353768475194742,0.0045648128494747,1,1,4,2
M,"Деятельность профессиональная, научная и техническая",10370225.333333334,0.2782228476440619,0.284174295428151,0.3387877571272737,0.0417601950623284,4,3,3,1
N,Деятельность административная и сопутствующие дополнительные услуги,4343473.0,0.233423549934367,0.2211469833563927,0.2905888596035953,0.2158961618493775,4,3,3,1
O,Государственное управление и обеспечение военной безопасности; социальное обеспечение,32983616.666666668,0.2825354607868158,0.1313288605684331,0.3769167260458125,0.0499080399843281,4,3,3,1
P,Образование,14350854.166666666,0.6936988133033594,0.1679636336100729,0.06173648908588,0.0268796901836945,1,1,2,1
Q,Деятельность в области здравоохранения и социальных услуг,12133824.833333334,0.4813902231392473,0.4335947350460321,0.0332766966218063,0.0324030929602802,3,4,2,1
R,"Деятельность в области культуры, спорта, организации досуга и развлечений",6216339.0,0.612605356043907,0.1468404308849181,0.1565941335652405,0.0182886891705228,1,1,2,1
S,Предоставление прочих видов услуг,1117263.1666666667,0.4278889468821669,0.2591708426829397,0.1950410780320818,0.0615851044513905,3,4,2,1
